time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
3.45E-05,0,0.0956296,68,0.00165853,0.0276021
7.25E-05,0,0.0956296,68,0.00165918,0.0291191
0.000114282,0,0.0956296,68,0.00166507,0.0307877
0.000160237,0,0.0956296,68,0.00167591,0.032623
0.000210787,0,0.0956296,68,0.00169296,0.0346416
0.000266392,0,0.0956296,68,0.00171762,0.0368618
0.000327558,0,0.0956296,68,0.00175152,0.0393038
0.00039484,0,0.0956296,68,0.00179332,0.0419896
0.000468851,0,0.0956296,68,0.00184359,0.0449436
0.000550262,0,0.0956296,68,0.00190998,0.0481925
0.000639815,0,0.0956296,68,0.0019879,0.0517656
0.000738322,0,0.0956296,68,0.00207675,0.0556953
0.000846681,0,0.0956296,68,0.00217998,0.0600171
0.000965876,0,0.0956296,68,0.00230231,0.06477
0.00109699,0,0.0956296,67.9999,0.0024473,0.0699969
0.00124122,0,0.0956296,67.9999,0.00261942,0.0757449
0.00139986,0,0.0956296,67.9999,0.00282399,0.0820658
0.00157437,0,0.0956296,67.9999,0.00308367,0.0890165
0.00176634,0,0.0956296,67.9999,0.00339913,0.0966594
0.0019775,0,0.0956296,67.9999,0.00375833,0.105063
0.00220978,0,0.0956296,67.9999,0.00417801,0.114303
0.00246528,0,0.0956296,67.9998,0.00467396,0.124463
0.00274633,0,0.0956296,67.9998,0.00526425,0.135632
0.00305549,0,0.0956296,67.9997,0.00596902,0.14791
0.00339557,0,0.0956296,67.9997,0.0068034,0.161408
0.00376965,0,0.0956296,67.9996,0.00780837,0.176245
0.00418115,0,0.0956296,67.9996,0.00898837,0.192553
0.00463379,0,0.0956296,67.9995,0.0104061,0.210477
0.00513169,0,0.0956296,67.9994,0.0120958,0.230173
0.00567939,0,0.0956296,67.9992,0.0140843,0.252387
0.00628185,0,0.0956296,67.9991,0.0164658,0.279396
0.00694456,0,0.0956296,67.9989,0.0192334,0.312209
0.00767355,0,0.0956296,67.9987,0.0226608,0.352036
0.00847543,0,0.0956296,67.9984,0.0268873,0.400337
0.0093575,0,0.0956296,67.998,0.032128,0.45886
0.0103278,0,0.0956296,67.9976,0.0386729,0.529701
0.0113951,0,0.0956296,67.997,0.0468861,0.615361
0.0125691,0,0.0956296,67.9963,0.0572525,0.71882
0.0138605,0,0.0956296,67.9954,0.0703622,0.843609
0.0152811,0,0.0956296,67.9942,0.0869634,0.993898
0.0168438,0,0.0956296,67.9926,0.107972,1.17458
0.0185627,0,0.0956296,67.9906,0.13451,1.39135
0.0204535,0,0.0956296,67.988,0.167923,1.6508
0.0225333,0,0.0956296,67.9845,0.209776,1.96042
0.0248212,0,0.0956296,67.9801,0.261847,2.32864
0.0273378,0,0.0956296,67.9742,0.326074,2.76477
0.0301061,0,0.0956296,67.9665,0.404414,3.27877
0.0331513,0,0.0956296,67.9566,0.498769,3.88096
0.0365009,0,0.0956296,67.9436,0.611082,4.58142
0.0401856,0,0.0956296,67.9267,0.742796,5.38918
0.0438702,0,0.0956296,67.9068,0.877893,6.22966
0.0475548,0,0.0956296,67.8839,1.01379,7.09212
0.0512394,0,0.0956296,67.8577,1.14723,7.96613
0.0562661,0,0.0956296,67.8177,1.33365,9.11765
0.0592138,0,0.0956296,67.7908,1.42516,9.74084
0.0615719,0,0.0956296,67.7679,1.48494,10.2136
0.0639301,0,0.0956296,67.7438,1.53603,10.6645
0.0658166,0,0.0956296,67.7236,1.57079,11.0103
0.0677031,0,0.0956296,67.7029,1.6036,11.3432
0.0695897,0,0.0956296,67.6815,1.64021,11.6638
0.0714762,0,0.0956296,67.6595,1.67974,11.9725
0.0733627,0,0.0956296,67.6369,1.72308,12.2698
0.0752492,0,0.0956296,67.6137,1.77131,12.5561
0.0761925,0,0.0956296,67.6019,1.79558,12.6952
0.078079,0,0.0956296,67.5779,1.85106,12.9657
0.0794939,0,0.0956296,67.5596,1.89539,13.162
0.0809088,0,0.0956296,67.541,1.94282,13.3528
0.0818521,0,0.0956296,67.5284,1.97551,13.4771
0.0837386,0,0.0956296,67.503,2.04721,13.7187
0.0846819,0,0.0956296,67.49,2.08379,13.8361
0.0856251,0,0.0956296,67.477,2.1219,13.9513
0.0875117,0,0.0956296,67.4506,2.20436,14.1753
0.0884549,0,0.0956296,67.4373,2.24608,14.2841
0.0903414,0,0.0956296,67.4103,2.33229,14.4958
0.0912847,0,0.0956296,67.3967,2.37524,14.5987
0.0931712,0,0.0956296,67.3691,2.46406,14.7987
0.0950578,0,0.0956296,67.3412,2.55495,14.9914
0.0969443,0,0.0956296,67.3129,2.64345,15.1768
0.0988308,0,0.0956296,67.2843,2.7297,15.3555
0.100717,0,0.0956296,67.2553,2.8138,15.5275
0.102604,0,0.0956296,67.226,2.8957,15.6931
0.104113,0,0.0956296,67.2023,2.96048,15.8212
0.105622,0,0.0956296,67.1785,3.0222,15.9455
0.107132,0,0.0956296,67.1544,3.08258,16.066
0.108641,0,0.0956296,67.1301,3.14258,16.183
0.11015,0,0.0956296,67.1057,3.20044,16.2965
