®É¶¡ (sec),SN38 ,SN39 ,SN40 ,SN102 ,SN121 ,SN129 
7.95793e-05,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.000167116,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.000263407,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.000369327,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.000485839,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.000614002,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.000754982,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.000910059,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00108064,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00126829,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0014747,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00170174,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0019515,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00222623,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00252843,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00286085,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00322651,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00362875,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0040712,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0045579,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00509327,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00568217,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00632997,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00704255,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00782638,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0086886,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.00963704,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0106803,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0118279,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0130903,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0144789,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0160064,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0176866,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0195348,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0215679,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0238043,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0262643,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0289703,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0319469,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0352212,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0388229,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0427847,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0471428,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0515008,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0570497,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0598388,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.062628,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0648593,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0670906,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.069322,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.071107,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0728921,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0746771,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0764622,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0782472,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0791398,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0809248,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0818174,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0831562,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
0.0840487,82.3834,82.3834,82.3834,82.3834,82.3834,82.3834
