time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
7.96E-05,0,0.0956296,68,0.00866547,0.0635626
0.000167116,0,0.0956296,68,0.00871515,0.0670526
0.000263407,0,0.0956296,68,0.00878585,0.070891
0.000369327,0,0.0956296,68,0.0088768,0.0751123
0.000485839,0,0.0956296,68,0.00899451,0.0797548
0.000614002,0,0.0956296,68,0.00911923,0.0848602
0.000754982,0,0.0956296,67.9999,0.00927076,0.0904747
0.000910059,0,0.0956296,67.9999,0.00947037,0.0966487
0.00108064,0,0.0956296,67.9999,0.00971984,0.103438
0.00126829,0,0.0956296,67.9999,0.0100285,0.110904
0.0014747,0,0.0956296,67.9999,0.0104051,0.119112
0.00170174,0,0.0956296,67.9998,0.010857,0.128138
0.0019515,0,0.0956296,67.9998,0.011386,0.138062
0.00222623,0,0.0956296,67.9998,0.0120135,0.148972
0.00252843,0,0.0956296,67.9997,0.0128073,0.160967
0.00286085,0,0.0956296,67.9997,0.0137685,0.174152
0.00322651,0,0.0956296,67.9996,0.0148723,0.188646
0.00362875,0,0.0956296,67.9995,0.0161467,0.204577
0.0040712,0,0.0956296,67.9995,0.0176338,0.222087
0.0045579,0,0.0956296,67.9993,0.019424,0.241329
0.00509327,0,0.0956296,67.9992,0.0215699,0.262474
0.00568217,0,0.0956296,67.9991,0.0241207,0.286141
0.00632997,0,0.0956296,67.9989,0.0272601,0.315146
0.00704255,0,0.0956296,67.9986,0.0310512,0.35063
0.00782638,0,0.0956296,67.9984,0.0353669,0.39397
0.0086886,0,0.0956296,67.998,0.0408804,0.44682
0.00963704,0,0.0956296,67.9976,0.0478552,0.511167
0.0106803,0,0.0956296,67.9971,0.0566193,0.589389
0.0118279,0,0.0956296,67.9964,0.0676994,0.684323
0.0130903,0,0.0956296,67.9955,0.081781,0.799346
0.0144789,0,0.0956296,67.9944,0.0997426,0.938451
0.0160064,0,0.0956296,67.993,0.122689,1.10634
0.0176866,0,0.0956296,67.9911,0.152015,1.30851
0.0195348,0,0.0956296,67.9887,0.189452,1.55134
0.0215679,0,0.0956296,67.9856,0.237134,1.84213
0.0238043,0,0.0956296,67.9814,0.297608,2.18913
0.0262643,0,0.0956296,67.9761,0.373856,2.60152
0.0289703,0,0.0956296,67.969,0.469247,3.08924
0.0319469,0,0.0956296,67.9598,0.587377,3.6627
0.0352212,0,0.0956296,67.9478,0.731906,4.3323
0.0388229,0,0.0956296,67.9322,0.906143,5.10768
0.0427847,0,0.0956296,67.912,1.11242,5.99656
0.0471428,0,0.0956296,67.8859,1.35204,7.00335
0.0515008,0,0.0956296,67.8553,1.59621,8.02911
0.0570497,0,0.0956296,67.8108,1.91138,9.2872
