®É¶¡ (sec),SN38 ,SN39 ,SN40 ,SN102 ,SN121 ,SN129 
5.70529e-05,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000119811,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000188845,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000264782,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000348313,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000440197,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00054127,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000652449,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000774747,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.000909275,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00105725,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00122003,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00139909,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00159605,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00181271,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00205103,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00231319,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00260156,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00291877,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0032677,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00365152,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00407373,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00453815,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00504902,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00561097,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00622913,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00690909,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00765705,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00847981,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.00938485,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0103804,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0114755,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0126801,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0140051,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0154627,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.017066,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0188297,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0207697,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0229037,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0252511,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0278333,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0306737,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0337981,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.037235,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0410155,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0451741,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0497486,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0547805,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0598124,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0655153,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0702444,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0742239,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0768002,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0788613,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0798918,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0819529,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0827773,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0844262,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0852506,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.086075,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0877239,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0885483,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0901972,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0910216,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0926705,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0943193,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0959682,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.097617,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.0992659,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.100915,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.102564,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.103388,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.105037,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.106686,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.108335,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.109983,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.111632,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.113281,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.11493,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.116579,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.118228,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.119877,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.121526,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.123174,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.124823,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.126472,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.128121,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
0.12977,62.0826,62.0826,62.0826,62.0826,62.0826,62.0826
