®É¶¡ (sec),SN38 ,SN39 ,SN40 ,SN102 ,SN121 ,SN129 
4.57897e-05,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
9.61583e-05,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000151564,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00021251,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00027955,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000353295,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000434414,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000523645,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000621799,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000729768,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000848535,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.000979178,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00112289,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00128096,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00145485,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00164612,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00185653,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00208797,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00234255,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0026226,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00293065,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0032695,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00364224,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00405226,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00450327,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00499939,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00554512,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00614542,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00680575,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00753212,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00833112,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.00921002,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0101768,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0112403,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0124101,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0136969,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0151124,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0166694,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0183821,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0202661,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0223385,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0246182,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0271258,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0298842,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0329184,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.036256,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0399274,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0439659,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0480044,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.052043,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0573052,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0598899,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0624745,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0645423,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.06661,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0686777,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0707454,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0728132,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0748809,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0769486,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0784994,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0800502,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.081601,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0826349,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0841857,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0852195,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0867703,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0883211,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0898719,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0919396,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0929735,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0950412,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.097109,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.0991767,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.101244,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.103312,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.104966,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.10662,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.108275,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.109929,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.111583,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.113237,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
0.114891,72.1579,72.1579,72.1579,72.1579,72.1579,72.1579
