®É¶¡ (sec),SN38 ,SN39 ,SN40 ,SN102 ,SN121 ,SN129 
3.45265e-05,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
7.25055e-05,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000114282,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000160237,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000210787,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000266392,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000327558,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00039484,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000468851,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000550262,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000639815,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000738322,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000846681,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.000965876,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00109699,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00124122,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00139986,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00157437,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00176634,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0019775,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00220978,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00246528,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00274633,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00305549,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00339557,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00376965,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00418115,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00463379,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00513169,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00567939,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00628185,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00694456,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00767355,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.00847543,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0093575,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0103278,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0113951,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0125691,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0138605,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0152811,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0168438,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0185627,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0204535,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0225333,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0248212,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0273378,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0301061,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0331513,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0365009,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0401856,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0442387,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0486971,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0531554,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0576138,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0629422,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0665856,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0688683,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.071151,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0729771,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0748033,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0766294,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0784556,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0802817,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0811948,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0821079,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0839341,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0848472,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0857602,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0875864,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0884995,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0903256,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0912387,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0930649,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.094891,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0967172,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.0985433,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.100369,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.102196,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.104022,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.105848,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.107674,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.1095,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.111326,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.113153,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.114979,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.116805,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.118631,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.120457,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.121827,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.123653,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.125479,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.127305,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.129131,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.130958,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.132784,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.13461,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.136436,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.137806,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.139632,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.141001,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.142371,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.143741,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.144654,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.146023,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.146937,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.148306,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.149676,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.151502,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.152415,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.154241,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.156067,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.157528,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.158989,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.16045,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.161911,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.163372,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.164833,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.166294,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.167755,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.169216,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.170676,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.172137,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.173598,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.175059,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.17652,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.177981,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.179442,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.180903,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.182364,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.183825,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.185286,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.186747,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.188208,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.189669,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.19113,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.19259,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.194051,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.194782,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.196243,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.196973,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.198069,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.198799,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.199895,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.200991,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.201721,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.203182,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.204643,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.205373,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.206834,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.208295,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.209756,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.211217,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.212678,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.214139,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.2156,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.217061,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.218522,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.219983,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.221444,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.222905,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.224073,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.225242,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.226411,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.22758,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.228748,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.229917,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.231086,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.232255,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.233423,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.234592,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.235761,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.23693,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.238098,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.239267,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.240436,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.241605,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.242773,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.243358,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.244526,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.245695,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
0.246279,52.3094,52.3094,52.3094,52.3094,52.3094,52.3094
