time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
4.58E-05,0,0.0956296,68,0.00279811,0.0365983
9.62E-05,0,0.0956296,68,0.00281504,0.0386092
0.000151564,0,0.0956296,68,0.00283855,0.0408211
0.00021251,0,0.0956296,68,0.00286804,0.0432538
0.00027955,0,0.0956296,68,0.00289808,0.0459294
0.000353295,0,0.0956296,68,0.002934,0.0488722
0.000434414,0,0.0956296,68,0.00298239,0.0521088
0.000523645,0,0.0956296,68,0.00304641,0.0556684
0.000621799,0,0.0956296,68,0.00312748,0.0595833
0.000729768,0,0.0956296,68,0.00322974,0.0638887
0.000848535,0,0.0956296,68,0.00335338,0.0686236
0.000979178,0,0.0956296,68,0.00350113,0.0738307
0.00112289,0,0.0956296,67.9999,0.0036735,0.079557
0.00128096,0,0.0956296,67.9999,0.00388981,0.085854
0.00145485,0,0.0956296,67.9999,0.00415077,0.0927784
0.00164612,0,0.0956296,67.9999,0.00446204,0.100392
0.00185653,0,0.0956296,67.9999,0.00481736,0.108764
0.00208797,0,0.0956296,67.9998,0.00522309,0.11797
0.00234255,0,0.0956296,67.9998,0.00570832,0.128091
0.0026226,0,0.0956296,67.9998,0.00629009,0.139217
0.00293065,0,0.0956296,67.9997,0.00698098,0.15145
0.0032695,0,0.0956296,67.9997,0.0078078,0.164897
0.00364224,0,0.0956296,67.9996,0.0087965,0.179678
0.00405226,0,0.0956296,67.9996,0.00997603,0.195925
0.00450327,0,0.0956296,67.9995,0.0113701,0.213781
0.00499939,0,0.0956296,67.9994,0.0130423,0.233404
0.00554512,0,0.0956296,67.9992,0.0150169,0.254966
0.00614542,0,0.0956296,67.9991,0.0173586,0.281239
0.00680575,0,0.0956296,67.9989,0.020077,0.313221
0.00753212,0,0.0956296,67.9987,0.0234414,0.352111
0.00833112,0,0.0956296,67.9984,0.0275863,0.399353
0.00921002,0,0.0956296,67.998,0.0327218,0.456678
0.0101768,0,0.0956296,67.9976,0.0391328,0.526162
0.0112403,0,0.0956296,67.997,0.0471773,0.610286
0.0124101,0,0.0956296,67.9963,0.0573329,0.712003
0.0136969,0,0.0956296,67.9954,0.0701816,0.834821
0.0151124,0,0.0956296,67.9942,0.0864623,0.982879
0.0166694,0,0.0956296,67.9927,0.107081,1.16104
0.0183821,0,0.0956296,67.9907,0.13315,1.37497
0.0202661,0,0.0956296,67.9881,0.166004,1.63122
0.0223385,0,0.0956296,67.9847,0.207202,1.93726
0.0246182,0,0.0956296,67.9803,0.258518,2.3015
0.0271258,0,0.0956296,67.9745,0.321887,2.73323
0.0298842,0,0.0956296,67.967,0.399287,3.24243
0.0329184,0,0.0956296,67.9572,0.492647,3.83944
