,max_syspressure,int_syspressure,max_SN8 ,int_SN8 ,res_SN8 ,max_SN17 ,int_SN17 ,res_SN17 ,max_SN18 ,int_SN18 ,res_SN18 ,max_SN80 ,int_SN80 ,res_SN80 ,max_SN93 ,int_SN93 ,res_SN93 ,max_SN99 ,int_SN99 ,res_SN99 ,max_SN100 ,int_SN100 ,res_SN100 ,max_SN105 ,int_SN105 ,res_SN105 ,max_SN107 ,int_SN107 ,res_SN107 ,L3
25,205.918,1065.825491,94.6143,765.2096282,32.53808141,79.135,694.0448982,32.95460565,79.1555,692.7882937,32.75263955,78.2739,670.5632889,31.51590979,91.3548,755.4773104,33.35743862,78.2707,670.7512809,31.56285457,94.9952,767.1859031,32.53764199,79.1422,693.6379975,32.87248295,78.2764,670.2908725,31.63588632,299.5783691
26,183.187,761.9115053,64.7124,518.587515,15.60001591,56.4586,478.6150754,14.64106912,56.4702,477.7757685,14.61891304,56.1316,466.182955,13.92067642,62.376,511.4791872,15.77968665,56.1307,466.3487671,13.97085153,65.0256,519.928605,15.68749002,56.4637,478.3996282,14.57684279,56.1326,465.8866428,14.02742764,299.1025391
27,166.528,590.3935131,45.4744,448.9893325,11.04456636,44.5206,419.3054188,9.566276407,44.5325,418.8382959,9.698143885,44.1339,410.0076527,9.269245481,45.2968,443.1857007,10.98969965,44.0874,410.1202842,9.312604234,45.4959,449.9920674,11.16512487,44.525,419.1857034,9.512335022,44.1747,409.8036846,9.390587635,298.9634399
28,151.827,472.3274948,36.012,205.829692,0,25.0106,177.4321815,0,25.0185,177.1254879,0,24.6744,169.1325776,0,33.0364,199.611348,0,24.6713,169.2216336,0,36.3962,206.8379976,0,25.0132,177.3323178,0,24.6799,169.0235697,0,298.5898438
29,188.008,515.1280054,117.309,421.0756043,5.376971462,115.415,407.580537,3.10348428,115.416,407.2235453,3.503318869,115.305,403.6968916,3.473966159,116.681,418.2448892,5.395836007,115.305,403.7976868,3.525954042,117.421,421.6772421,5.500247831,115.416,407.4829722,3.050899954,115.306,403.4749126,3.808163495,298.8591309
30,155.266,800.053221,54.6077,459.9670302,15.56257485,46.087,399.3152462,16.14371126,46.0907,399.1832689,16.37424359,45.5235,381.8924941,15.07121777,52.1821,450.6736787,16.42831138,45.5175,381.9179625,15.10244169,54.9218,461.310135,15.65105256,46.0883,399.2672777,16.08804604,45.534,381.8632964,15.31845758,299.1127319
31,139.841,541.1819072,39.281,199.6389212,0,25.3972,159.957329,0,25.4063,159.802554,0,25.0339,149.0018518,0,36.3861,192.5333486,0,25.0022,148.9920128,0,39.639,200.6801729,0,25.4012,159.9461758,0,25.058,148.923001,0,298.5910034
32,127.684,499.114814,32.7132,246.4329361,0,31.8621,219.4975454,0,31.8681,219.3916795,0,31.5183,212.0810134,0,32.5359,241.1482121,0,31.5133,212.0849702,0,32.7367,247.1963821,0,31.8646,219.4763139,0,31.5247,212.0368641,0,298.6565247
33,225.225,652.5577922,136.686,576.4094294,25.74725213,132.759,564.5179479,26.70421275,132.771,563.9289771,26.45259934,132.403,559.9311758,26.66665782,135.521,575.7582755,26.29243663,132.402,560.1369005,26.70723603,136.928,576.7487841,25.69548077,132.765,564.3531494,26.6425438,132.405,559.7164093,26.62564588,299.4388733
34,215.03,638.7716973,110.743,560.1198467,27.0674212,107.615,541.4783786,25.44891214,107.619,541.1419343,25.35343301,107.372,536.2078293,25.42277037,109.993,556.6236613,26.79436738,107.371,536.3320812,25.45602711,110.863,560.7570372,27.14036603,107.617,541.3903537,25.40142108,107.373,536.061846,25.40368978,299.3940125
