®É¶¡ (sec),SN38 ,SN39 ,SN40 ,SN102 ,SN121 ,SN129 
3.45265e-05,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
7.25055e-05,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000114282,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000160237,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000210787,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000266392,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000327558,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00039484,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000468851,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000550262,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000639815,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000738322,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000846681,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.000965876,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00109699,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00124122,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00139986,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00157437,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00176634,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0019775,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00220978,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00246528,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00274633,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00305549,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00339557,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00376965,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00418115,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00463379,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00513169,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00567939,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00628185,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00694456,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00767355,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.00847543,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0093575,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0103278,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0113951,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0125691,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0138605,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0152811,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0168438,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0185627,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0204535,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0225333,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0248212,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0273378,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0301061,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0331513,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0365009,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0401856,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0442387,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0486971,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0536013,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0585055,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0634097,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0688998,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0734705,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0759815,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0779902,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.079999,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0820078,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0828113,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0836148,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0852218,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0860253,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0868288,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0884359,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0892394,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0908464,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0924534,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0932569,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.0948639,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.096471,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.098078,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.099685,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.101292,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.102899,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.104506,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.106113,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.10772,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.109327,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.110934,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.112541,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.114148,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.115755,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.117362,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.118969,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.120576,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.122183,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.12379,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.125397,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.127004,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.128611,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.130218,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.131825,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.133432,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.135039,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.136646,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.138253,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.13986,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.141467,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.142271,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.143878,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.144681,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.145485,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.14669,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.147896,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.148699,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.150306,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.151511,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.153118,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.154725,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.156332,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.157939,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.159546,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.161153,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.16276,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.164367,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.165974,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.167581,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.169188,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.170796,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.172403,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.17401,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.175617,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.177224,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.178429,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.180036,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.181643,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.18325,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.184857,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.186464,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.188071,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.189678,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.191285,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.19249,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
0.194097,61.6901,61.6901,61.6901,61.6901,61.6901,61.6901
