time (sec),SN8 ,SN17 ,SN18 ,SN80 ,SN93 ,SN99 ,SN100 ,SN105 ,SN107 
5.71E-05,0,0,0,0,0,0,0,0,0
0.000119811,0,0,0,0,0,0,0,0,0
0.000188845,0,0,0,0,0,0,0,0,0
0.000264782,0,0,0,0,0,0,0,0,0
0.000348313,0,0,0,0,0,0,0,0,0
0.000440197,0,0,0,0,0,0,0,0,0
0.00054127,0,0,0,0,0,0,0,0,0
0.000652449,0,0,0,0,0,0,0,0,0
0.000774747,0,0,0,0,0,0,0,0,0
0.000909275,0,0,0,0,0,0,0,0,0
0.00105725,0,0,0,0,0,0,0,0,0
0.00122003,0,0,0,0,0,0,0,0,0
0.00139909,0,0,0,0,0,0,0,0,0
0.00159605,0,0,0,0,0,0,0,0,0
0.00181271,0,0,0,0,0,0,0,0,0
0.00205103,0,0,0,0,0,0,0,0,0
0.00231319,0,0,0,0,0,0,0,0,0
0.00260156,0,0,0,0,0,0,0,0,0
0.00291877,0,0,0,0,0,0,0,0,0
0.0032677,0,0,0,0,0,0,0,0,0
0.00365152,0,0,0,0,0,0,0,0,0
0.00407373,0,0,0,0,0,0,0,0,0
0.00453815,0,0,0,0,0,0,0,0,0
0.00504902,0,0,0,0,0,0,0,0,0
0.00561097,0,0,0,0,0,0,0,0,0
0.00622913,0,0,0,0,0,0,0,0,0
0.00690909,0,0,0,0,0,0,0,0,0
0.00765705,0,0,0,0,0,0,0,0,0
0.00847981,0,0,0,0,0,0,0,0,0
0.00938485,0,0,0,0,0,0,0,0,0
0.0103804,0,0,0,0,0,0,0,0,0
0.0114755,0,0,0,0,0,0,0,0,0
0.0126801,0,0,0,0,0,0,0,0,0
0.0140051,0,0,0,0,0,0,0,0,0
0.0154627,0,0,0,0,0,0,0,0,0
0.017066,0,0,0,0,0,0,0,0,0
0.0188297,0,0,0,0,0,0,0,0,0
0.0207697,0,0,0,0,0,0,0,0,0
0.0229037,0,0,0,0,0,0,0,0,0
0.0252511,0,0,0,0,0,0,0,0,0
0.0278333,0,0,0,0,0,0,0,0,0
0.0306737,0,0,0,0,0,0,0,0,0
0.0337981,0,0,0,0,0,0,0,0,0
0.037235,0,0,0,0,0,0,0,0,0
0.0410155,0,0,0,0,0,0,0,0,0
0.0451741,0,0,0,0,0,0,0,0,0
0.0497486,0,0,0,0,0,0,0,0,0
0.0543231,0,0,0,0,0,0,0,0,0
0.0598888,0,0,0,0,0,0,0,0,0
0.0636539,0,0,0,0,0,0,0,0,0
0.0665816,0,0,0,0,0,0,0,0,0
0.0689237,0,0,0,0,0,0,0,0,0
0.0712658,0,0,0,0,0,0,0,0,0
0.0738312,0,0,0,0,0,0,0,0,0
0.0757049,0,0,0,0,0,0,0,0,0
0.0775786,0,0,0,0,0,0,0,0,0
0.0785155,0,0,0,0,0,0,0,0,0
0.0803892,0,0,0,0,0,0,0,0,0
0.081326,0,0,0,0,0,0,0,0,0
0.0831997,0,0,0,0,0,0,0,0,0
0.0841366,0,0,0,0,0,0,0,0,0
0.0850734,0,0,0,0,0,0,0,0,0
0.0864787,0,0,0,0,0,0,0,0,0
0.0874156,0,0,0,0,0,0,0,0,0
0.0892893,0,0,0,0,0,0,0,0,0
0.0906945,0,0,0,0,0,0,0,0,0
0.0925682,0,0,0,0,0,0,0,0,0
0.0935051,0,0,0,0,0,0,0,0,0
0.0953788,0,0,0,0,0,0,0,0,0
0.0972525,0,0,0,0,0,0,0,0,0
0.0991262,0,0,0,0,0,0,0,0,0
0.101,0,0,0,0,0,0,0,0,0
0.102874,0,0,0,0,0,0,0,0,0
0.104747,0,0,0,0,0,0,0,0,0
0.106621,0,0,0,0,0,0,0,0,0
0.108495,0,0,0,0,0,0,0,0,0
0.110368,0,0,0,0,0,0,0,0,0
0.112242,0,0,0,0,0,0,0,0,0
0.114116,0,0,0,0,0,0,0,0,0
0.115989,0,0,0,0,0,0,0,0,0
0.117863,0,0,0,0,0,0,0,0,0
0.119362,0,0,0,0,0,0,0,0,0
0.120861,0,0,0,0,0,0,0,0,0
0.12236,0,0,0,0,0,0,0,0,0
0.123859,0,0,0,0,0,0,0,0,0
0.125358,0,0,0,0,0,0,0,0,0
0.126857,0,0,0,0,0,0,0,0,0
0.128356,0,0,0,0,0,0,0,0,0
0.129855,0,0,0,0,0,0,0,0,0
0.131354,0,0,0,0,0,0,0,0,0
0.132853,0,0,0,0,0,0,0,0,0
0.134352,0,0,0,0,0,0,0,0,0
0.135851,0,0,0,0,0,0,0,0,0
0.13735,0,0,0,0,0,0,0,0,0
0.138849,0,0,0,0,0,0,0,0,0
0.140348,0,0,0,0,0,0,0,0,0
0.141097,0,0,0,0,0,0,0,0,0
0.142596,0,0,0,0,0,0,0,0,0
0.143346,0,0,0,0,0,0,0,0,0
0.144845,0,0,0,0,0,0,0,0,0
0.145594,0,0,0,0,0,0,0,0,0
0.146343,0,0,0,0,0,0,0,0,0
0.147842,0,0,0,0,0,0,0,0,0
0.148592,0,0,0,0,0,0,0,0,0
0.150091,0,0,0,0,0,0,0,0,0
0.15084,0,0,0,0,0,0,0,0,0
0.152339,0,0,0,0,0,0,0,0,0
0.153838,0,0,0,0,0,0,0,0,0
0.155337,0,0,0,0,0,0,0,0,0
0.156836,0,0,0,0,0,0,0,0,0
0.158335,0,0,0,0,0,0,0,0,0
0.159834,0,0,0,0,0,0,0,0,0
0.161333,0,0,0,0,0,0,0,0,0
0.162832,0,0,0,0,0,0,0,0,0
0.164331,0,0,0,0,0,0,0,0,0
0.16583,0,0,0,0,0,0,0,0,0
0.167329,0,0,0,0,0,0,0,0,0
0.168828,0,0,0,0,0,0,0,0,0
0.170327,0,0,0,0,0,0,0,0,0
0.171826,0,0,0,0,0,0,0,0,0
0.173325,0,0,0,0,0,0,0,0,0
0.174824,0,0,0,0,0,0,0,0,0
0.176323,0,0,0,0,0,0,0,0,0
0.177822,0,0,0,0,0,0,0,0,0
0.179321,0,0,0,0,0,0,0,0,0
0.18082,0,0,0,0,0,0,0,0,0
0.182319,0,0,0,0,0,0,0,0,0
0.183818,0,0,0,0,0,0,0,0,0
0.185317,0,0,0,0,0,0,0,0,0
0.186815,0,0,0,0,0,0,0,0,0
0.188314,0,0,0,0,0,0,0,0,0
0.189064,0,0,0,0,0,0,0,0,0
0.190563,0,0,0,0,0,0,0,0,0
0.192062,0,0,0,0,0,0,0,0,0
0.193561,0,0,0,0,0,0,0,0,0
0.19506,0,0,0,0,0,0,0,0,0
0.195809,0,0,0,0,0,0,0,0,0
0.196933,0,0,0,0,0,0,0,0,0
0.198058,0,0,0,0,0,0,0,0,0
0.198807,0,0,0,0,0,0,0,0,0
0.199931,0,0,0,0,0,0,0,0,0
0.200681,0,0,0,0,0,0,0,0,0
0.20218,0,0,0,0,0,0,0,0,0
0.202929,0,0,0,0,0,0,0,0,0
0.204428,0,0,0,0,0,0,0,0,0
0.205927,0,0,0,0,0,0,0,0,0
0.207426,0,0,0,0,0,0,0,0,0
0.208925,0,0,0,0,0,0,0,0,0
0.210424,0,0,0,0,0,0,0,0,0
0.211923,0,0,0,0,0,0,0,0,0
0.213422,0,0,0,0,0,0,0,0,0
0.214171,0,0,0,0,0,0,0,0,0
0.21567,0,0,0,0,0,0,0,0,0
0.217169,0,0,0,0,0,0,0,0,0
0.218668,0,0,0,0,0,0,0,0,0
0.219867,0,0,0,0,0,0,0,0,0
0.221067,0,0,0,0,0,0,0,0,0
0.222266,0,0,0,0,0,0,0,0,0
0.223465,0,0,0,0,0,0,0,0,0
0.224664,0,0,0,0,0,0,0,0,0
0.225863,0,0,0,0,0,0,0,0,0
0.227062,0,0,0,0,0,0,0,0,0
0.228262,0,0,0,0,0,0,0,0,0
0.229461,0,0,0,0,0,0,0,0,0
