sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
安南,臺南市,71,細懸浮微粒,普通,1.2,0.5,30.2,45.6,35,26,13.1,14.4,1.3,2.8,339,"2023/04/07 22:00:00",0.4,23,45,1,120.2175,23.048197,45
臺南,臺南市,70,細懸浮微粒,普通,0.8,0.54,25.5,39.2,41,25,16.5,16.9,0.4,0.9,336,"2023/04/07 22:00:00",0.5,23,46,0,120.22085,22.99123,46
美濃,高雄市,64,細懸浮微粒,普通,1.1,0.51,37.8,51,57,25,10.5,11.6,1.1,1.8,257,"2023/04/07 22:00:00",0.4,20,43,0,120.530542,22.883583,47
橋頭,高雄市,84,細懸浮微粒,普通,2.4,0.55,24.1,43.8,63,32,20,20.9,0.8,2.9,11,"2023/04/07 22:00:00",0.5,28,58,1,120.305689,22.757506,48
仁武,高雄市,86,細懸浮微粒,普通,1.8,0.57,26.5,43.6,62,32,20.2,20.6,0.3,2.3,336,"2023/04/07 22:00:00",0.5,29,57,0,120.332631,22.689056,49
鳳山,高雄市,88,細懸浮微粒,普通,2.8,0.8,24.4,35.1,63,34,26.2,28.3,2,1.3,279,"2023/04/07 22:00:00",0.8,30,55,1,120.357422,22.628126,50
大寮,高雄市,68,細懸浮微粒,普通,1.9,0.57,35.3,45.7,61,34,16.7,17.2,0.5,1.4,351,"2023/04/07 22:00:00",0.3,22,46,1,120.425311,22.56413611,51
林園,高雄市,50,,良好,0.1,0.37,43.3,54.3,35,11,4.9,5.1,0.1,2,293,"2023/04/07 22:00:00",0.3,13,42,0,120.41175,22.4795,52
楠梓,高雄市,72,細懸浮微粒,普通,2.1,0.54,26.1,45.1,58,26,19.4,20.5,1,1.3,344,"2023/04/07 22:00:00",0.5,24,55,1,120.328289,22.733667,53
左營,高雄市,75,細懸浮微粒,普通,2.2,0.56,30.1,47.4,59,28,18,18.7,0.6,2.2,324,"2023/04/07 22:00:00",0.5,25,54,1,120.292917,22.674861,54
前金,高雄市,77,細懸浮微粒,普通,1.2,0.56,31.1,51.3,61,27,18.1,17.9,0,2.8,343,"2023/04/07 22:00:00",0.5,26,53,0,120.28676111,22.63390278,56
前鎮,高雄市,79,細懸浮微粒,普通,1.3,0.7,29.2,45.1,65,28,22.1,23.2,1.1,2,8,"2023/04/07 22:00:00",0.6,26,58,1,120.30833356,22.6044507,57
小港,高雄市,84,細懸浮微粒,普通,2.2,0.78,31.5,36.8,86,56,24,24.3,0.2,1.8,289,"2023/04/07 22:00:00",0.5,28,59,1,120.337736,22.565833,58
屏東,屏東縣,74,細懸浮微粒,普通,0.4,0.56,40.5,49.4,49,32,14.7,15.4,0.6,1.8,273,"2023/04/07 22:00:00",0.5,25,42,0,120.488033,22.673081,59
潮州,屏東縣,44,,良好,0.6,0.39,44.2,48.3,25,8,5.4,6.6,1.2,1,197,"2023/04/07 22:00:00",0.3,11,27,0,120.561175,22.523108,60
恆春,屏東縣,46,,良好,0.7,0.34,54.9,50.7,11,5,2.1,2.3,0.2,8.8,29,"2023/04/07 22:00:00",0.3,3,5,0,120.788928,21.958069,61
臺東,臺東縣,38,,良好,0.1,0.43,36.4,41.2,11,4,6,6.3,0.3,1.6,314,"2023/04/07 22:00:00",0.4,3,14,0,121.15045,22.755358,62
花蓮,花蓮縣,46,,良好,0.6,0.46,42,42.9,30,17,8.1,8.9,0.8,1.8,269,"2023/04/07 22:00:00",0.4,14,27,0,121.599769,23.971306,63
