time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
5.71E-05,0,0.0956296,68,0.004053,0.0455904
0.000119811,0,0.0956296,68,0.00402107,0.0480949
0.000188845,0,0.0956296,68,0.00399141,0.0508494
0.000264782,0,0.0956296,68,0.00398464,0.0538789
0.000348313,0,0.0956296,68,0.00400664,0.0572109
0.000440197,0,0.0956296,68,0.00406122,0.0608754
0.00054127,0,0.0956296,68,0.00414332,0.0649056
0.000652449,0,0.0956296,68,0.00424593,0.0693379
0.000774747,0,0.0956296,68,0.00436793,0.0742122
0.000909275,0,0.0956296,67.9999,0.0045024,0.0795726
0.00105725,0,0.0956296,67.9999,0.00465126,0.0854674
0.00122003,0,0.0956296,67.9999,0.00482307,0.0919497
0.00139909,0,0.0956296,67.9999,0.00502744,0.0990777
0.00159605,0,0.0956296,67.9999,0.00527653,0.106916
0.00181271,0,0.0956296,67.9999,0.00557478,0.115534
0.00205103,0,0.0956296,67.9998,0.00593403,0.125009
0.00231319,0,0.0956296,67.9998,0.00636613,0.135427
0.00260156,0,0.0956296,67.9998,0.00688462,0.146881
0.00291877,0,0.0956296,67.9997,0.0075008,0.159472
0.0032677,0,0.0956296,67.9997,0.00823886,0.173313
0.00365152,0,0.0956296,67.9996,0.009116,0.188527
0.00407373,0,0.0956296,67.9995,0.0101707,0.205249
0.00453815,0,0.0956296,67.9994,0.0114187,0.223627
0.00504902,0,0.0956296,67.9993,0.0128775,0.243823
0.00561097,0,0.0956296,67.9992,0.0145401,0.266232
0.00622913,0,0.0956296,67.999,0.0165366,0.293592
0.00690909,0,0.0956296,67.9988,0.0189393,0.326951
0.00765705,0,0.0956296,67.9986,0.0218606,0.367575
0.00847981,0,0.0956296,67.9983,0.0254531,0.416987
0.00938485,0,0.0956296,67.9979,0.0299119,0.477011
0.0103804,0,0.0956296,67.9974,0.035471,0.549837
0.0114755,0,0.0956296,67.9968,0.0424474,0.638078
0.0126801,0,0.0956296,67.996,0.0512251,0.744844
0.0140051,0,0.0956296,67.995,0.0622808,0.873824
0.0154627,0,0.0956296,67.9938,0.0761937,1.02937
0.017066,0,0.0956296,67.9921,0.0936619,1.21657
0.0188297,0,0.0956296,67.99,0.115509,1.44137
0.0207697,0,0.0956296,67.9872,0.142682,1.7106
0.0229037,0,0.0956296,67.9835,0.176234,2.03202
0.0252511,0,0.0956296,67.9788,0.217284,2.41436
0.0278333,0,0.0956296,67.9725,0.266948,2.86714
0.0306737,0,0.0956296,67.9644,0.326347,3.40053
0.0337981,0,0.0956296,67.9538,0.396638,4.02495
0.037235,0,0.0956296,67.9399,0.479218,4.75039
0.0410155,0,0.0956296,67.922,0.574598,5.58556
0.0447961,0,0.0956296,67.9009,0.672082,6.45271
0.0485766,0,0.0956296,67.8765,0.768626,7.34032
0.0527295,0,0.0956296,67.846,0.874589,8.32211
0.0557539,0,0.0956296,67.8208,0.942552,9.00776
0.0581735,0,0.0956296,67.799,0.988789,9.52714
0.060593,0,0.0956296,67.776,1.03083,10.022
0.0630126,0,0.0956296,67.7517,1.07147,10.4934
0.0649482,0,0.0956296,67.7314,1.10358,10.8545
0.0668839,0,0.0956296,67.7104,1.13866,11.2019
0.0688195,0,0.0956296,67.6887,1.17752,11.536
0.0707552,0,0.0956296,67.6664,1.21926,11.8575
0.0726908,0,0.0956296,67.6434,1.26403,12.1667
0.0746265,0,0.0956296,67.6199,1.31203,12.4642
0.0765621,0,0.0956296,67.5957,1.36196,12.7504
0.0775299,0,0.0956296,67.5834,1.38675,12.8894
0.0794656,0,0.0956296,67.5585,1.44057,13.1595
0.0804334,0,0.0956296,67.5457,1.4675,13.2906
0.082369,0,0.0956296,67.52,1.52576,13.5455
0.0833368,0,0.0956296,67.5069,1.55507,13.6692
0.0843047,0,0.0956296,67.4937,1.5854,13.7906
0.0857564,0,0.0956296,67.4736,1.63372,13.9683
0.0872081,0,0.0956296,67.4534,1.68401,14.1409
0.088176,0,0.0956296,67.4397,1.71851,14.2533
0.0901116,0,0.0956296,67.4121,1.7896,14.4715
0.0920472,0,0.0956296,67.3841,1.86099,14.6815
0.0930151,0,0.0956296,67.3699,1.89574,14.7835
0.0949507,0,0.0956296,67.3412,1.96645,14.9816
0.0968863,0,0.0956296,67.3122,2.03686,15.1722
0.0984349,0,0.0956296,67.2888,2.0919,15.3194
0.0999834,0,0.0956296,67.265,2.14467,15.4622
0.101532,0,0.0956296,67.2411,2.19611,15.6006
0.10308,0,0.0956296,67.2169,2.24704,15.7348
0.104629,0,0.0956296,67.1926,2.2956,15.8649
0.106177,0,0.0956296,67.168,2.34318,15.991
0.107726,0,0.0956296,67.1432,2.3902,16.1133
0.109274,0,0.0956296,67.1183,2.43573,16.2318
0.110823,0,0.0956296,67.0931,2.48086,16.3468
0.112371,0,0.0956296,67.0678,2.52577,16.4582
0.11392,0,0.0956296,67.0423,2.56995,16.5662
0.115469,0,0.0956296,67.0167,2.61468,16.6709
0.117017,0,0.0956296,66.9909,2.65989,16.7725
0.118565,0,0.0956296,66.9649,2.70644,16.8709
0.120114,0,0.0956296,66.9388,2.75261,16.9663
0.121663,0,0.0956296,66.9125,2.79916,17.0589
0.123211,0,0.0956296,66.8861,2.84581,17.1486
0.12476,0,0.0956296,66.8595,2.89239,17.2355
0.126308,0,0.0956296,66.8328,2.9399,17.3199
0.127857,0,0.0956296,66.806,2.98848,17.4016
0.129405,0,0.0956296,66.7791,3.03711,17.4809
0.130954,0,0.0956296,66.752,3.08562,17.5577
0.131728,0,0.0956296,66.7384,3.1099,17.5952
0.133276,0,0.0956296,66.7112,3.15952,17.6686
0.134825,0,0.0956296,66.6838,3.20946,17.7397
0.136373,0,0.0956296,66.6563,3.26053,17.8086
0.137922,0,0.0956296,66.6288,3.31226,17.8755
0.139471,0,0.0956296,66.6011,3.36438,17.9403
0.141019,0,0.0956296,66.5733,3.41632,18.0031
0.141793,0,0.0956296,66.5594,3.4423,18.0338
0.143342,0,0.0956296,66.5314,3.49492,18.0937
0.144116,0,0.0956296,66.5174,3.52106,18.123
0.14489,0,0.0956296,66.5034,3.54798,18.1519
0.146052,0,0.0956296,66.4823,3.58988,18.1943
0.147213,0,0.0956296,66.4612,3.63268,18.2358
0.148374,0,0.0956296,66.44,3.67648,18.2763
0.149536,0,0.0956296,66.4188,3.72157,18.3159
0.151084,0,0.0956296,66.3904,3.78205,18.3672
0.151859,0,0.0956296,66.3762,3.8122,18.3923
0.153407,0,0.0956296,66.3477,3.87403,18.4414
