time (sec),SN8 ,SN17 ,SN18 ,SN80 ,SN93 ,SN99 ,SN100 ,SN105 ,SN107 
4.58E-05,0,0,0,0,0,0,0,0,0
9.62E-05,0,0,0,0,0,0,0,0,0
0.000151564,0,0,0,0,0,0,0,0,0
0.00021251,0,0,0,0,0,0,0,0,0
0.00027955,0,0,0,0,0,0,0,0,0
0.000353295,0,0,0,0,0,0,0,0,0
0.000434414,0,0,0,0,0,0,0,0,0
0.000523645,0,0,0,0,0,0,0,0,0
0.000621799,0,0,0,0,0,0,0,0,0
0.000729768,0,0,0,0,0,0,0,0,0
0.000848535,0,0,0,0,0,0,0,0,0
0.000979178,0,0,0,0,0,0,0,0,0
0.00112289,0,0,0,0,0,0,0,0,0
0.00128096,0,0,0,0,0,0,0,0,0
0.00145485,0,0,0,0,0,0,0,0,0
0.00164612,0,0,0,0,0,0,0,0,0
0.00185653,0,0,0,0,0,0,0,0,0
0.00208797,0,0,0,0,0,0,0,0,0
0.00234255,0,0,0,0,0,0,0,0,0
0.0026226,0,0,0,0,0,0,0,0,0
0.00293065,0,0,0,0,0,0,0,0,0
0.0032695,0,0,0,0,0,0,0,0,0
0.00364224,0,0,0,0,0,0,0,0,0
0.00405226,0,0,0,0,0,0,0,0,0
0.00450327,0,0,0,0,0,0,0,0,0
0.00499939,0,0,0,0,0,0,0,0,0
0.00554512,0,0,0,0,0,0,0,0,0
0.00614542,0,0,0,0,0,0,0,0,0
0.00680575,0,0,0,0,0,0,0,0,0
0.00753212,0,0,0,0,0,0,0,0,0
0.00833112,0,0,0,0,0,0,0,0,0
0.00921002,0,0,0,0,0,0,0,0,0
0.0101768,0,0,0,0,0,0,0,0,0
0.0112403,0,0,0,0,0,0,0,0,0
0.0124101,0,0,0,0,0,0,0,0,0
0.0136969,0,0,0,0,0,0,0,0,0
0.0151124,0,0,0,0,0,0,0,0,0
0.0166694,0,0,0,0,0,0,0,0,0
0.0183821,0,0,0,0,0,0,0,0,0
0.0202661,0,0,0,0,0,0,0,0,0
0.0223385,0,0,0,0,0,0,0,0,0
0.0246182,0,0,0,0,0,0,0,0,0
0.0271258,0,0,0,0,0,0,0,0,0
0.0298842,0,0,0,0,0,0,0,0,0
0.0329184,0,0,0,0,0,0,0,0,0
0.036256,0,0,0,0,0,0,0,0,0
0.0399274,0,0,0,0,0,0,0,0,0
0.0439659,0,0,0,0,0,0,0,0,0
0.0484083,0,0,0,0,0,0,0,0,0
0.0532949,0,0,0,0,0,0,0,0,0
0.0581815,0,0,0,0,0,0,0,0,0
0.0630681,0,0,0,0,0,0,0,0,0
0.0685536,0,0,0,0,0,0,0,0,0
0.0731202,0,0,0,0,0,0,0,0,0
0.0756222,0,0,0,0,0,0,0,0,0
0.0776237,0,0,0,0,0,0,0,0,0
0.0796253,0,0,0,0,0,0,0,0,0
0.0816268,0,0,0,0,0,0,0,0,0
0.0824275,0,0,0,0,0,0,0,0,0
0.0840287,0,0,0,0,0,0,0,0,0
0.0848293,0,0,0,0,0,0,0,0,0
0.08563,0,0,0,0,0,0,0,0,0
0.0872312,0,0,0,0,0,0,0,0,0
0.0880318,0,0,0,0,0,0,0,0,0
0.0896331,0,0,0,0,0,0,0,0,0
0.0904337,0,0,0,0,0,0,0,0,0
0.0920349,0,0,0,0,0,0,0,0,0
0.0928356,0,0,0,0,0,0,0,0,0
0.0944368,0,0,0,0,0,0,0,0,0
0.0960381,0,0,0,0,0,0,0,0,0
0.0976393,0,0,0,0,0,0,0,0,0
0.0992406,0,0,0,0,0,0,0,0,0
0.100842,0,0,0,0,0,0,0,0,0
0.102443,0,0,0,0,0,0,0,0,0
0.104044,0,0,0,0,0,0,0,0,0
0.105646,0,0,0,0,0,0,0,0,0
0.107247,0,0,0,0,0,0,0,0,0
0.108848,0,0,0,0,0,0,0,0,0
0.110449,0,0,0,0,0,0,0,0,0
0.112051,0,0,0,0,0,0,0,0,0
0.113652,0,0,0,0,0,0,0,0,0
0.115253,0,0,0,0,0,0,0,0,0
0.116854,0,0,0,0,0,0,0,0,0
0.118455,0,0,0,0,0,0,0,0,0
0.120057,0,0,0,0,0,0,0,0,0
0.121658,0,0,0,0,0,0,0,0,0
0.123259,0,0,0,0,0,0,0,0,0
0.124861,0,0,0,0,0,0,0,0,0
0.126462,0,0,0,0,0,0,0,0,0
0.128063,0,0,0,0,0,0,0,0,0
0.129664,0,0,0,0,0,0,0,0,0
0.131266,0,0,0,0,0,0,0,0,0
