time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
3.90E-05,0,0.0956296,68,0.00273891,0.031201
8.20E-05,0,0.0956296,68,0.00273473,0.0329156
0.000129195,0,0.0956296,68,0.00272329,0.0348016
0.000181146,0,0.0956296,68,0.00271863,0.0368759
0.000238292,0,0.0956296,68,0.00272026,0.0391574
0.000301153,0,0.0956296,68,0.00272876,0.0416667
0.0003703,0,0.0956296,68,0.00274985,0.0444267
0.000446361,0,0.0956296,68,0.00278562,0.0474621
0.000530029,0,0.0956296,68,0.00284252,0.0508006
0.000622063,0,0.0956296,68,0.00292285,0.0544723
0.000723301,0,0.0956296,68,0.00303225,0.0585104
0.000834663,0,0.0956296,68,0.00318037,0.0629513
0.000957161,0,0.0956296,68,0.00337018,0.0678352
0.00109191,0,0.0956296,67.9999,0.00358303,0.0732061
0.00124013,0,0.0956296,67.9999,0.00385221,0.0791125
0.00140318,0,0.0956296,67.9999,0.00417812,0.0856074
0.00158252,0,0.0956296,67.9999,0.00457056,0.0927494
0.00177981,0,0.0956296,67.9999,0.00497248,0.100603
0.00199682,0,0.0956296,67.9999,0.00544997,0.109238
0.00223554,0,0.0956296,67.9998,0.00599178,0.118732
0.00249812,0,0.0956296,67.9998,0.00661841,0.12917
0.00278696,0,0.0956296,67.9998,0.0073656,0.140646
0.00310469,0,0.0956296,67.9997,0.0082478,0.153262
0.00345419,0,0.0956296,67.9997,0.00931249,0.16713
0.00383864,0,0.0956296,67.9996,0.0106005,0.182373
0.00426154,0,0.0956296,67.9995,0.0121328,0.199128
0.00472673,0,0.0956296,67.9994,0.0140683,0.217542
0.00523843,0,0.0956296,67.9993,0.0164163,0.237777
0.0058013,0,0.0956296,67.9992,0.0192567,0.261071
0.00642047,0,0.0956296,67.999,0.0225938,0.289412
0.00710154,0,0.0956296,67.9988,0.0266432,0.323858
0.00785073,0,0.0956296,67.9986,0.0315727,0.365688
0.00867483,0,0.0956296,67.9983,0.0377185,0.416435
0.00958135,0,0.0956296,67.9979,0.0454677,0.47794
0.0105785,0,0.0956296,67.9974,0.0539966,0.552406
0.0116754,0,0.0956296,67.9968,0.0653892,0.642462
0.012882,0,0.0956296,67.9961,0.0803099,0.751236
0.0142092,0,0.0956296,67.9951,0.0994379,0.882432
0.0156692,0,0.0956296,67.9938,0.123898,1.04042
0.0172751,0,0.0956296,67.9921,0.155226,1.23031
0.0190416,0,0.0956296,67.9899,0.195411,1.45805
0.0209848,0,0.0956296,67.9871,0.246935,1.73048
0.0231223,0,0.0956296,67.9834,0.312886,2.05538
0.0254736,0,0.0956296,67.9786,0.39703,2.44144
0.02806,0,0.0956296,67.9722,0.503904,2.8982
0.030905,0,0.0956296,67.964,0.638807,3.43576
0.0340346,0,0.0956296,67.9533,0.807714,4.06447
0.0374771,0,0.0956296,67.9393,1.01705,4.79423
0.0412638,0,0.0956296,67.9211,1.27199,5.63359
0.0454292,0,0.0956296,67.8976,1.57806,6.58844
0.0500112,0,0.0956296,67.8675,1.93884,7.66032
0.0545931,0,0.0956296,67.8324,2.31079,8.74132
0.0601523,0,0.0956296,67.7838,2.76373,9.92664
0.0639179,0,0.0956296,67.7464,3.03789,10.6577
0.0668504,0,0.0956296,67.7151,3.22015,11.19
0.0691964,0,0.0956296,67.6889,3.34035,11.5939
0.0717856,0,0.0956296,67.6589,3.45141,12.0182
0.0736623,0,0.0956296,67.6363,3.51564,12.3123
0.0755391,0,0.0956296,67.6132,3.56815,12.5956
0.0774159,0,0.0956296,67.5896,3.61293,12.8684
0.0783543,0,0.0956296,67.5775,3.63312,13.001
0.080231,0,0.0956296,67.5531,3.67709,13.2589
0.0811694,0,0.0956296,67.5406,3.69891,13.3843
0.0830462,0,0.0956296,67.5155,3.7511,13.628
0.0839846,0,0.0956296,67.5027,3.77742,13.7465
0.084923,0,0.0956296,67.4898,3.80634,13.8628
0.0867997,0,0.0956296,67.4638,3.87572,14.0889
0.0877381,0,0.0956296,67.4506,3.91293,14.1988
0.0891457,0,0.0956296,67.4306,3.97595,14.3599
0.0910225,0,0.0956296,67.4037,4.07025,14.5677
0.0919608,0,0.0956296,67.39,4.11978,14.6687
0.0938376,0,0.0956296,67.3625,4.22861,14.8652
0.0957144,0,0.0956296,67.3346,4.34487,15.0544
0.0975911,0,0.0956296,67.3063,4.46573,15.2366
0.0994679,0,0.0956296,67.2777,4.59188,15.4121
0.101345,0,0.0956296,67.2488,4.72183,15.5811
0.103221,0,0.0956296,67.2195,4.85583,15.744
0.105098,0,0.0956296,67.19,4.98976,15.9008
0.106975,0,0.0956296,67.1601,5.12444,16.0518
0.108852,0,0.0956296,67.13,5.25935,16.1973
0.110729,0,0.0956296,67.0996,5.396,16.3374
0.112605,0,0.0956296,67.069,5.52958,16.4724
0.114482,0,0.0956296,67.038,5.66157,16.6024
0.116359,0,0.0956296,67.0069,5.79191,16.7275
