time (sec),SN8 ,SN17 ,SN18 ,SN80 ,SN93 ,SN99 ,SN100 ,SN105 ,SN107 
3.90E-05,0,0,0,0,0,0,0,0,0
8.20E-05,0,0,0,0,0,0,0,0,0
0.000129195,0,0,0,0,0,0,0,0,0
0.000181146,0,0,0,0,0,0,0,0,0
0.000238292,0,0,0,0,0,0,0,0,0
0.000301153,0,0,0,0,0,0,0,0,0
0.0003703,0,0,0,0,0,0,0,0,0
0.000446361,0,0,0,0,0,0,0,0,0
0.000530029,0,0,0,0,0,0,0,0,0
0.000622063,0,0,0,0,0,0,0,0,0
0.000723301,0,0,0,0,0,0,0,0,0
0.000834663,0,0,0,0,0,0,0,0,0
0.000957161,0,0,0,0,0,0,0,0,0
0.00109191,0,0,0,0,0,0,0,0,0
0.00124013,0,0,0,0,0,0,0,0,0
0.00140318,0,0,0,0,0,0,0,0,0
0.00158252,0,0,0,0,0,0,0,0,0
0.00177981,0,0,0,0,0,0,0,0,0
0.00199682,0,0,0,0,0,0,0,0,0
0.00223554,0,0,0,0,0,0,0,0,0
0.00249812,0,0,0,0,0,0,0,0,0
0.00278696,0,0,0,0,0,0,0,0,0
0.00310469,0,0,0,0,0,0,0,0,0
0.00345419,0,0,0,0,0,0,0,0,0
0.00383864,0,0,0,0,0,0,0,0,0
0.00426154,0,0,0,0,0,0,0,0,0
0.00472673,0,0,0,0,0,0,0,0,0
0.00523843,0,0,0,0,0,0,0,0,0
0.0058013,0,0,0,0,0,0,0,0,0
0.00642047,0,0,0,0,0,0,0,0,0
0.00710154,0,0,0,0,0,0,0,0,0
0.00785073,0,0,0,0,0,0,0,0,0
0.00867483,0,0,0,0,0,0,0,0,0
0.00958135,0,0,0,0,0,0,0,0,0
0.0105785,0,0,0,0,0,0,0,0,0
0.0116754,0,0,0,0,0,0,0,0,0
0.012882,0,0,0,0,0,0,0,0,0
0.0142092,0,0,0,0,0,0,0,0,0
0.0156692,0,0,0,0,0,0,0,0,0
0.0172751,0,0,0,0,0,0,0,0,0
0.0190416,0,0,0,0,0,0,0,0,0
0.0209848,0,0,0,0,0,0,0,0,0
0.0231223,0,0,0,0,0,0,0,0,0
0.0254736,0,0,0,0,0,0,0,0,0
0.02806,0,0,0,0,0,0,0,0,0
0.030905,0,0,0,0,0,0,0,0,0
0.0340346,0,0,0,0,0,0,0,0,0
0.0374771,0,0,0,0,0,0,0,0,0
0.0412638,0,0,0,0,0,0,0,0,0
0.0454292,0,0,0,0,0,0,0,0,0
0.0500112,0,0,0,0,0,0,0,0,0
0.0550513,0,0,0,0,0,0,0,0,0
0.0600915,0,0,0,0,0,0,0,0,0
0.0657918,0,0,0,0,0,0,0,0,0
0.0705196,0,0,0,0,0,0,0,0,0
0.0744981,0,0,0,0,0,0,0,0,0
0.0770787,0,0,0,0,0,0,0,0,0
0.0791431,0,0,0,0,0,0,0,0,0
0.0801754,0,0,0,0,0,0,0,0,0
0.0822398,0,0,0,0,0,0,0,0,0
0.0830656,0,0,0,0,0,0,0,0,0
0.0843043,0,0,0,0,0,0,0,0,0
0.08513,0,0,0,0,0,0,0,0,0
0.0867816,0,0,0,0,0,0,0,0,0
0.0876074,0,0,0,0,0,0,0,0,0
0.0884331,0,0,0,0,0,0,0,0,0
0.0900847,0,0,0,0,0,0,0,0,0
0.0917362,0,0,0,0,0,0,0,0,0
0.092562,0,0,0,0,0,0,0,0,0
0.0942136,0,0,0,0,0,0,0,0,0
0.0958651,0,0,0,0,0,0,0,0,0
0.0975167,0,0,0,0,0,0,0,0,0
0.0991682,0,0,0,0,0,0,0,0,0
0.10082,0,0,0,0,0,0,0,0,0
0.102471,0,0,0,0,0,0,0,0,0
0.104123,0,0,0,0,0,0,0,0,0
0.105774,0,0,0,0,0,0,0,0,0
0.107426,0,0,0,0,0,0,0,0,0
0.109078,0,0,0,0,0,0,0,0,0
0.110729,0,0,0,0,0,0,0,0,0
0.112381,0,0,0,0,0,0,0,0,0
0.114032,0,0,0,0,0,0,0,0,0
0.115684,0,0,0,0,0,0,0,0,0
0.117335,0,0,0,0,0,0,0,0,0
0.118987,0,0,0,0,0,0,0,0,0
0.120638,0,0,0,0,0,0,0,0,0
0.12229,0,0,0,0,0,0,0,0,0
0.123942,0,0,0,0,0,0,0,0,0
0.125593,0,0,0,0,0,0,0,0,0
0.127245,0,0,0,0,0,0,0,0,0
0.128896,0,0,0,0,0,0,0,0,0
0.130548,0,0,0,0,0,0,0,0,0
0.132199,0,0,0,0,0,0,0,0,0
0.133851,0,0,0,0,0,0,0,0,0
0.135503,0,0,0,0,0,0,0,0,0
0.137154,0,0,0,0,0,0,0,0,0
0.138806,0,0,0,0,0,0,0,0,0
0.140457,0,0,0,0,0,0,0,0,0
0.141283,0,0,0,0,0,0,0,0,0
0.142935,0,0,0,0,0,0,0,0,0
0.14376,0,0,0,0,0,0,0,0,0
0.144999,0,0,0,0,0,0,0,0,0
0.145825,0,0,0,0,0,0,0,0,0
0.147063,0,0,0,0,0,0,0,0,0
0.148302,0,0,0,0,0,0,0,0,0
0.149541,0,0,0,0,0,0,0,0,0
0.150779,0,0,0,0,0,0,0,0,0
0.152431,0,0,0,0,0,0,0,0,0
0.154083,0,0,0,0,0,0,0,0,0
0.155734,0,0,0,0,0,0,0,0,0
0.156973,0,0,0,0,0,0,0,0,0
0.158624,0,0,0,0,0,0,0,0,0
0.160276,0,0,0,0,0,0,0,0,0
0.161927,0,0,0,0,0,0,0,0,0
0.163579,0,0,0,0,0,0,0,0,0
0.16523,0,0,0,0,0,0,0,0,0
0.166882,0,0,0,0,0,0,0,0,0
0.168534,0,0,0,0,0,0,0,0,0
0.170185,0,0,0,0,0,0,0,0,0
0.171837,0,0,0,0,0,0,0,0,0
0.173488,0,0,0,0,0,0,0,0,0
0.17514,0,0,0,0,0,0,0,0,0
0.176791,0,0,0,0,0,0,0,0,0
0.178443,0,0,0,0,0,0,0,0,0
0.180094,0,0,0,0,0,0,0,0,0
0.181746,0,0,0,0,0,0,0,0,0
0.183398,0,0,0,0,0,0,0,0,0
0.185049,0,0,0,0,0,0,0,0,0
0.186288,0,0,0,0,0,0,0,0,0
0.187939,0,0,0,0,0,0,0,0,0
0.189591,0,0,0,0,0,0,0,0,0
0.191243,0,0,0,0,0,0,0,0,0
0.192894,0,0,0,0,0,0,0,0,0
0.19372,0,0,0,0,0,0,0,0,0
0.195371,0,0,0,0,0,0,0,0,0
0.19661,0,0,0,0,0,0,0,0,0
0.197436,0,0,0,0,0,0,0,0,0
0.198674,0,0,0,0,0,0,0,0,0
0.1995,0,0,0,0,0,0,0,0,0
0.200739,0,0,0,0,0,0,0,0,0
0.201978,0,0,0,0,0,0,0,0,0
0.203216,0,0,0,0,0,0,0,0,0
0.204868,0,0,0,0,0,0,0,0,0
0.205694,0,0,0,0,0,0,0,0,0
0.207345,0,0,0,0,0,0,0,0,0
0.208997,0,0,0,0,0,0,0,0,0
0.210648,0,0,0,0,0,0,0,0,0
0.2123,0,0,0,0,0,0,0,0,0
0.213951,0,0,0,0,0,0,0,0,0
0.215603,0,0,0,0,0,0,0,0,0
0.217255,0,0,0,0,0,0,0,0,0
0.218906,0,0,0,0,0,0,0,0,0
0.220558,0,0,0,0,0,0,0,0,0
0.222209,0,0,0,0,0,0,0,0,0
0.223861,0,0,0,0,0,0,0,0,0
0.225099,0,0,0,0,0,0,0,0,0
0.226751,0,0,0,0,0,0,0,0,0
0.228402,0,0,0,0,0,0,0,0,0
0.230054,0,0,0,0,0,0,0,0,0
0.231706,0,0,0,0,0,0,0,0,0
0.233027,0,0,0,0,0,0,0,0,0
0.234348,0,0,0,0,0,0,0,0,0
0.235669,0,0,0,0,0,0,0,0,0
0.236991,0,0,0,0,0,0,0,0,0
0.238312,0,0,0,0,0,0,0,0,0
0.239633,0,0,0,0,0,0,0,0,0
0.240294,0,0,0,0,0,0,0,0,0
0.241615,0,0,0,0,0,0,0,0,0
0.242936,0,0,0,0,0,0,0,0,0
0.244257,0,0,0,0,0,0,0,0,0
0.245579,0,0,0,0,0,0,0,0,0
0.246239,0,0,0,0,0,0,0,0,0
0.247561,0,0,0,0,0,0,0,0,0
0.248221,0,0,0,0,0,0,0,0,0
0.248882,0,0,0,0,0,0,0,0,0
0.249873,0,0,0,0,0,0,0,0,0
0.250533,0,0,0,0,0,0,0,0,0
0.251855,0,0,0,0,0,0,0,0,0
0.252515,0,0,0,0,0,0,0,0,0
0.253506,0,0,0,0,0,0,0,0,0
0.254827,0,0,0,0,0,0,0,0,0
0.255488,0,0,0,0,0,0,0,0,0
0.256809,0,0,0,0,0,0,0,0,0
0.25813,0,0,0,0,0,0,0,0,0
0.259452,0,0,0,0,0,0,0,0,0
0.260773,0,0,0,0,0,0,0,0,0
0.262094,0,0,0,0,0,0,0,0,0
0.263415,0,0,0,0,0,0,0,0,0
0.264473,0,0,0,0,0,0,0,0,0
0.26553,0,0,0,0,0,0,0,0,0
0.266587,0,0,0,0,0,0,0,0,0
0.267644,0,0,0,0,0,0,0,0,0
0.2687,0,0,0,0,0,0,0,0,0
0.269757,0,0,0,0,0,0,0,0,0
0.270603,0,0,0,0,0,0,0,0,0
0.27128,0,0,0,0,0,0,0,0,0
0.271956,0,0,0,0,0,0,0,0,0
0.272497,0,0,0,0,0,0,0,0,0
0.273038,0,0,0,0,0,0,0,0,0
0.27358,0,0,0,0,0,0,0,0,0
0.27385,0,0,0,0,0,0,0,0,0
0.274391,0,0,0,0,0,0,0,0,0
0.274662,0,0,0,0,0,0,0,0,0
0.274933,0,0,0,0,0,0,0,0,0
0.275474,0,0,0,0,0,0,0,0,0
0.275744,0,0,0,0,0,0,0,0,0
0.276285,0,0,0,0,0,0,0,0,0
0.276632,0,0,0,0,0,0,0,0,0
0.276643,0,0,0,0,0,0,0,0,0
0.276865,0,0,0,0,0,0,0,0,0
0.276874,0,0,0,0,0,0,0,0,0
0.277069,0,0,0,0,0,0,0,0,0
0.277241,0,0,0,0,0,0,0,0,0
0.277378,0,0,0,0,0,0,0,0,0
0.277516,0,0,0,0,0,0,0,0,0
