time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
3.90E-05,0,0.0956296,68,0.00189043,0.031201
8.20E-05,0,0.0956296,68,0.00189633,0.0329156
0.000129195,0,0.0956296,68,0.00189871,0.0348016
0.000181146,0,0.0956296,68,0.00190514,0.0368759
0.000238292,0,0.0956296,68,0.00192115,0.0391574
0.000301153,0,0.0956296,68,0.00194711,0.0416667
0.0003703,0,0.0956296,68,0.0019848,0.0444267
0.000446361,0,0.0956296,68,0.00203464,0.0474621
0.000530029,0,0.0956296,68,0.00209538,0.0508006
0.000622063,0,0.0956296,68,0.00216547,0.0544723
0.000723301,0,0.0956296,68,0.0022457,0.0585104
0.000834663,0,0.0956296,68,0.0023454,0.0629513
0.000957161,0,0.0956296,68,0.00246641,0.0678352
0.00109191,0,0.0956296,67.9999,0.00260354,0.0732061
0.00124013,0,0.0956296,67.9999,0.00276186,0.0791125
0.00140318,0,0.0956296,67.9999,0.0029514,0.0856074
0.00158252,0,0.0956296,67.9999,0.00317842,0.0927494
0.00177981,0,0.0956296,67.9999,0.00344789,0.100603
0.00199682,0,0.0956296,67.9999,0.00377346,0.109238
0.00223554,0,0.0956296,67.9998,0.00415974,0.118732
0.00249812,0,0.0956296,67.9998,0.00462092,0.12917
0.00278696,0,0.0956296,67.9998,0.00517157,0.140646
0.00310469,0,0.0956296,67.9997,0.00582823,0.153262
0.00345419,0,0.0956296,67.9997,0.0065994,0.16713
0.00383864,0,0.0956296,67.9996,0.00753111,0.182373
0.00426154,0,0.0956296,67.9995,0.00862392,0.199128
0.00472673,0,0.0956296,67.9994,0.00992118,0.217542
0.00523843,0,0.0956296,67.9993,0.011406,0.237777
0.0058013,0,0.0956296,67.9992,0.0131357,0.261071
0.00642047,0,0.0956296,67.999,0.0152046,0.289412
0.00710154,0,0.0956296,67.9988,0.0176931,0.323858
0.00785073,0,0.0956296,67.9986,0.0207186,0.365688
0.00867483,0,0.0956296,67.9983,0.0244347,0.416435
0.00958135,0,0.0956296,67.9979,0.0290383,0.47794
0.0105785,0,0.0956296,67.9974,0.0347771,0.552406
0.0116754,0,0.0956296,67.9968,0.041959,0.642462
0.012882,0,0.0956296,67.9961,0.0509793,0.751236
0.0142092,0,0.0956296,67.9951,0.0623135,0.882432
0.0156692,0,0.0956296,67.9938,0.0765472,1.04042
0.0172751,0,0.0956296,67.9921,0.0943792,1.23031
0.0190416,0,0.0956296,67.9899,0.116634,1.45805
0.0209848,0,0.0956296,67.9871,0.144256,1.73048
0.0231223,0,0.0956296,67.9834,0.178294,2.05538
0.0254736,0,0.0956296,67.9786,0.219859,2.44144
0.02806,0,0.0956296,67.9722,0.270051,2.8982
0.030905,0,0.0956296,67.964,0.329993,3.43576
0.0340346,0,0.0956296,67.9533,0.400828,4.06447
0.0374771,0,0.0956296,67.9393,0.483918,4.79423
0.0412638,0,0.0956296,67.9211,0.579651,5.63359
0.0450505,0,0.0956296,67.8998,0.67741,6.5043
0.0488373,0,0.0956296,67.8751,0.774156,7.39479
0.0529867,0,0.0956296,67.8445,0.879969,8.37663
0.0554103,0,0.0956296,67.8242,0.93151,8.92671
0.0578338,0,0.0956296,67.8025,0.976628,9.45076
0.0602573,0,0.0956296,67.7796,1.0179,9.95001
0.0626808,0,0.0956296,67.7555,1.05839,10.4256
0.0646196,0,0.0956296,67.7353,1.09157,10.7898
0.0665584,0,0.0956296,67.7144,1.12711,11.1402
0.0684972,0,0.0956296,67.6928,1.16657,11.4773
0.070436,0,0.0956296,67.6705,1.20873,11.8015
0.0723749,0,0.0956296,67.6476,1.25464,12.1133
0.0743137,0,0.0956296,67.6242,1.30318,12.4134
0.0762525,0,0.0956296,67.6001,1.35347,12.702
0.0772219,0,0.0956296,67.5878,1.37853,12.8421
