time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
3.90E-05,0,0.0956296,68,0.00370542,0.031201
8.20E-05,0,0.0956296,68,0.00368437,0.0329156
0.000129195,0,0.0956296,68,0.00364763,0.0348016
0.000181146,0,0.0956296,68,0.00359511,0.0368759
0.000238292,0,0.0956296,68,0.0035529,0.0391574
0.000301153,0,0.0956296,68,0.00351561,0.0416667
0.0003703,0,0.0956296,68,0.00348602,0.0444267
0.000446361,0,0.0956296,68,0.00347082,0.0474621
0.000530029,0,0.0956296,68,0.00347104,0.0508006
0.000622063,0,0.0956296,68,0.00349554,0.0544723
0.000723301,0,0.0956296,68,0.00355479,0.0585104
0.000834663,0,0.0956296,68,0.00365465,0.0629513
0.000957161,0,0.0956296,68,0.00379967,0.0678352
0.00109191,0,0.0956296,67.9999,0.00400714,0.0732061
0.00124013,0,0.0956296,67.9999,0.00428039,0.0791125
0.00140318,0,0.0956296,67.9999,0.00463501,0.0856074
0.00158252,0,0.0956296,67.9999,0.00508335,0.0927494
0.00177981,0,0.0956296,67.9999,0.00563757,0.100603
0.00199682,0,0.0956296,67.9999,0.00631052,0.109238
0.00223554,0,0.0956296,67.9998,0.00714108,0.118732
0.00249812,0,0.0956296,67.9998,0.0078734,0.12917
0.00278696,0,0.0956296,67.9998,0.00872932,0.140646
0.00310469,0,0.0956296,67.9997,0.00969715,0.153262
0.00345419,0,0.0956296,67.9997,0.0109939,0.16713
0.00383864,0,0.0956296,67.9996,0.0125287,0.182373
0.00426154,0,0.0956296,67.9995,0.0143222,0.199128
0.00472673,0,0.0956296,67.9994,0.0163736,0.217542
0.00523843,0,0.0956296,67.9993,0.0187773,0.237777
0.0058013,0,0.0956296,67.9992,0.0216339,0.261071
0.00642047,0,0.0956296,67.999,0.0251883,0.289412
0.00710154,0,0.0956296,67.9988,0.0295765,0.323858
0.00785073,0,0.0956296,67.9986,0.0349971,0.365688
0.00867483,0,0.0956296,67.9983,0.0418164,0.416435
0.00958135,0,0.0956296,67.9979,0.05106,0.47794
0.0105785,0,0.0956296,67.9974,0.0630716,0.552406
0.0116754,0,0.0956296,67.9968,0.0783235,0.642462
0.012882,0,0.0956296,67.9961,0.0960637,0.751236
0.0142092,0,0.0956296,67.9951,0.11459,0.882432
0.0156692,0,0.0956296,67.9938,0.140294,1.04042
0.0172751,0,0.0956296,67.9921,0.175175,1.23031
0.0190416,0,0.0956296,67.9899,0.22073,1.45805
0.0209848,0,0.0956296,67.9871,0.279332,1.73048
0.0231223,0,0.0956296,67.9834,0.35457,2.05538
0.0254736,0,0.0956296,67.9786,0.451114,2.44144
0.02806,0,0.0956296,67.9722,0.574755,2.8982
0.030905,0,0.0956296,67.964,0.732484,3.43576
0.0340346,0,0.0956296,67.9533,0.932588,4.06447
0.0374771,0,0.0956296,67.9393,1.18466,4.79423
0.0412638,0,0.0956296,67.9211,1.49738,5.63359
0.0454292,0,0.0956296,67.8976,1.88111,6.58844
0.0500112,0,0.0956296,67.8675,2.34537,7.66032
0.0550513,0,0.0956296,67.8288,2.89714,8.84412
0.0600915,0,0.0956296,67.7843,3.46201,9.91436
0.0657918,0,0.0956296,67.7278,4.09862,11.0016
0.0705196,0,0.0956296,67.6757,4.59,11.8139
0.0744981,0,0.0956296,67.6287,4.95733,12.4402
0.0770787,0,0.0956296,67.5966,5.15773,12.8206
0.0791431,0,0.0956296,67.5702,5.28964,13.1111
0.0801754,0,0.0956296,67.5566,5.34066,13.2518
0.0822398,0,0.0956296,67.5293,5.42755,13.5248
0.0830656,0,0.0956296,67.5181,5.45399,13.6309
0.0843043,0,0.0956296,67.5012,5.48971,13.7868
0.08513,0,0.0956296,67.4898,5.512,13.8886
0.0867816,0,0.0956296,67.4669,5.55974,14.0872
0.0876074,0,0.0956296,67.4553,5.58288,14.184
0.0884331,0,0.0956296,67.4436,5.60616,14.2793
