weight
100.968
100.519
100.383
100.261
100.25
100.33
100.103
100.056
100.959
100.062
99.9214
101.221
100.864
99.7562
99.8073
100.707
100.427
100.286
99.6948
101.091
100.199
100.542
100.655
99.7464
100.301
101.378
100.559
100.309
99.432
100.111
100.433
99.7333
99.7277
101.068
100.88
100.004
99.8692
99.6209
100.247
100.523
100.604
99.7089
99.9288
100.162
100.542
